ATHLETE Points 100 LJ SP HJ 400 110H DT PV JT 1500
EATON 8893 985 1045 773 813 1005 1000 777 972 734 789
MAYER 8834 903 960 836 840 896 972 804 1035 814 774
WARNER 8666 1023 977 708 840 941 1029 765 819 786 778
KAZMIREK 8580 910 982 741 896 971 896 731 910 807 736
BOURRADA 8521 917 940 715 896 910 955 713 790 836 849
SUÁREZ 8460 814 847 745 868 902 913 810 880 925 756
ZIEMEK 8392 926 932 694 896 822 878 858 972 752 662
PLAETSEN 8332 808 975 657 953 832 848 738 1035 769 717
FELIX 8323 876 915 776 868 855 875 769 760 888 741
ARAÚJO 8315 912 930 806 731 902 953 769 880 697 735
TAIWO 8300 858 922 785 982 872 902 663 910 608 798
HELCELET 8291 847 898 796 840 837 927 749 819 862 716
AUZEIL 8064 823 830 815 785 845 871 710 941 767 677
DUBLE 8024 892 927 575 925 900 936 642 880 616 731
ABELE 8013 890 807 792 785 860 959 760 760 800 600
VICTOR 7998 899 840 777 785 824 762 938 731 791 651
TONNESEN 7982 791 893 709 813 778 851 794 972 740 641
GARCÍA 7961 903 774 764 813 876 942 671 760 809 649
DISTELBERGER 7954 897 893 692 705 880 925 626 849 765 722
USHIRO 7952 795 774 737 785 795 839 868 880 838 641
WIESIOLEK 7784 888 750 739 813 806 839 835 760 688 666
NAKAMURA 7612 852 845 606 731 865 902 562 819 607 823
SALURI 7223 901 818 721 602 800 676 725 760 536 684
